percentil_ingreso,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4,participacion_muestra_ingreso,ingreso_min,ingreso_mediana_ponderada,ingreso_max
1,249077.28747217762,3627,0.8879308092143628,0.263873911746789,0.5549893651089078,0.026948822004836816,0.10133710139339192,0.1904849035725602,0.002110610544058095,0.012060006590608054,0.11206919078563712,0.30599262210061823,0.014170617134666146,0.010853468029758576,1.0,50000.0,79999.99999999999
2,256334.91991156817,3595,0.9290656761635337,0.2360822919993786,0.6497915004337986,0.040363146715676985,0.09072382718498792,0.13743805286977076,0.005048286927953929,0.0057008620313456475,0.0709343238364662,0.2389110290140583,0.01074914895929958,0.011169717184597566,82000.0,100000.0,119999.99999999999
3,184742.6350664324,2692,0.9194123163578775,0.23657244958588433,0.6450336974297232,0.04219071360113346,0.09765528994214201,0.11990351511036364,0.005059483631509588,0.009569616643005728,0.08058768364212257,0.23218790532702097,0.014629100274515316,0.008050104864141226,120000.0,150000.0,150000.0
4,430246.19879875425,6447,0.9272227816300821,0.22343584085875315,0.6737730194037629,0.05250597109707279,0.08980657060563779,0.09835888963688515,0.0027472977777046547,0.010031033109018917,0.0727772183699179,0.2009437911292465,0.012778330886723569,0.018747848954750807,152000.0,200000.0,200000.0
5,31614.432196213966,400,0.8987167561262194,0.2247042378452392,0.6702702615498906,0.045128875623883596,0.06651798732749181,0.09545309426585077,0.004181762061131425,0.01716477529797123,0.10128324387378061,0.18331761895244522,0.021346537359102656,0.0013775893924447297,200999.99999999997,219999.99999999997,220000.0
6,226285.0868608388,3142,0.9260841229447426,0.2117597341890388,0.697710738604229,0.05844948604404543,0.09313709571902118,0.06079200395437659,0.010899714065116474,0.005095084557954088,0.07391587705525719,0.16992389829646834,0.01599479862307056,0.009860304730231952,220999.99999999997,249999.99999999997,269999.99999999994
7,491180.67107388895,7447,0.9581955571471059,0.21446703406581466,0.7075795660793962,0.0645227225770983,0.08634853692334837,0.08915829768094333,0.0028169818920965187,0.007769451994223249,0.041804442852893926,0.18609326849061147,0.010586433886319767,0.021403050291895043,270000.0,300000.0,300000.0
9,227213.20367545728,3098,0.9498868182659859,0.1994587896752204,0.7358016308243329,0.07089325128307955,0.0848644557002511,0.043699742239441154,0.00686302630226275,0.00776471191661823,0.050113181734014176,0.1431919361585732,0.014627738218880979,0.009900747141812605,301250.0,349999.99999999994,360000.0
10,557014.7379250383,8383,0.9659696050575027,0.2094155723821871,0.7225683712851352,0.07962676077600564,0.08179774120612957,0.06486974061537784,0.006299365410888608,0.01080762576396584,0.03403039494249745,0.16377447299636186,0.017106991174854445,0.024271749991853647,360000.00000000006,400000.0,400000.0
12,159259.9619521516,2268,0.9691782472772001,0.19315462312065296,0.7598548275019004,0.08263492994549672,0.06925579635024491,0.0495354483963678,0.0045224980113886615,0.003374747071801603,0.030821752722799942,0.126688489829803,0.007897245083190264,0.006939705032966218,402000.0,449999.99999999994,449999.99999999994
13,380081.4665082033,5573,0.9798827657458838,0.1977441644971132,0.7427858692891934,0.09240100185797723,0.08791781243572189,0.0448751315278744,0.0037213981348806764,0.008181552500236286,0.02011723425411611,0.14469589459871326,0.011902950635116963,0.01656193580440903,450000.0,499999.99999999994,499999.99999999994
14,328455.25455328904,5240,0.9624713462713439,0.2159971232455665,0.6933261625857703,0.08207326025399513,0.09137161528737593,0.0771621294605676,0.00849878357112153,0.010039395112513616,0.03752865372865598,0.18707192343157866,0.01853817868363514,0.01431233911642201,500000.0,500000.0,500000.0
16,159056.27932261233,2163,0.9879269007799972,0.19060480442534355,0.7692623250480736,0.09713911618156357,0.07961801397430478,0.03656994075509073,0.002319526931554005,0.003017977889410603,0.012073099220002626,0.1215254595503601,0.005337504820964609,0.006930829623528621,501999.99999999994,549999.9999999999,580000.0
17,766666.303307596,11529,0.9741691434180937,0.1953240413938525,0.7411975244972508,0.09374393068418266,0.08436535581761463,0.04647119351555954,0.003758521279385697,0.0046326176241003715,0.025830856581906238,0.13922768823666024,0.00839113890348607,0.03340725401697517,580000.0000000001,600000.0,600000.0
20,143443.36744623873,2072,0.9771548070975562,0.18820137478983356,0.758700393181529,0.10878771204465465,0.0686580410669531,0.031243966697685272,0.004622345358223896,0.005142348748510195,0.02284519290244379,0.10966670187137245,0.009764694106734091,0.006250501675439066,600999.9999999999,650000.0,670000.0
21,387532.497464744,6347,0.9680649184079657,0.200799493583757,0.7233294256492955,0.09767458613411585,0.08458845436263265,0.04772073377910836,0.009600019245481132,0.005151699237332233,0.03193508159203424,0.1470609066245544,0.014751718482813366,0.016886612241575505,671999.9999999999,699999.9999999999,699999.9999999999
22,123585.4850696422,1884,0.9832094168874083,0.20061821460495233,0.7062008808181575,0.1441337861020278,0.08219993433066891,0.0387482154644131,0.004328788624726295,0.007597811547414676,0.016790583112591753,0.13287474996722298,0.011926600172140969,0.005385200412122669,700000.0,711750.0,720000.0
23,224656.2012476649,3400,0.98357677097598,0.19453831492839682,0.7433479995534806,0.11502906897282741,0.08040559093264721,0.03439885819217035,0.00644972832566896,0.003945524999185369,0.01642322902401991,0.1251997024496719,0.010395253324854328,0.009789326528621772,720000.0000000001,750000.0,799999.9999999999
24,757027.5333570709,12270,0.9700482364705569,0.1992969893345231,0.717268463586028,0.10738098690980459,0.08627999300285692,0.04388689664431978,0.008232673848044084,0.006999222479503453,0.02995176352944316,0.14539878597472425,0.015231896327547536,0.03298724750989488,800000.0,800000.0,800000.0
27,129976.2558326373,1898,0.9770652668980219,0.18863144257880296,0.7473823418184812,0.11565255257788658,0.07579268611766878,0.024099677987290832,0.007172717825927744,0.006965290570766849,0.022934733101977994,0.1140303725016542,0.014138008396694593,0.005663676329640563,803999.9999999999,850000.0,850000.0000000001
28,419109.9798097885,7267,0.9696498487427511,0.1989753258849575,0.7037784494539785,0.13092592269822242,0.08511191504373682,0.03819237744719097,0.006160800950194365,0.005480383149428023,0.030350151257248995,0.13494547659055017,0.011641184099622386,0.018262591555347697,852000.0,899999.9999999999,899999.9999999999
29,47399.76612069055,800,0.9576179174559896,0.20100950751383126,0.6769883522315683,0.09745075685487073,0.13677693006810543,0.03930217331380753,0.0033426039192718947,0.0037571010683658287,0.04238208254401022,0.1831788083695506,0.007099704987637725,0.0020654305795200765,900000.0,900000.0,900000.0
30,650378.3139727886,10723,0.957695671386207,0.2073035543021129,0.6725994905898465,0.12485940335036647,0.09160423877411891,0.05051425364012633,0.010446410214362331,0.007671874817386531,0.042304328613793116,0.1602367774459941,0.018118285031748862,0.028340039790823696,902000.0,999999.9999999999,999999.9999999999
32,500127.0414508347,7623,0.9522208079569623,0.22760093361096034,0.6227924462807398,0.12301189685063979,0.1029583061514988,0.07436724596292427,0.01623525046870844,0.012855662242451138,0.04777919204303764,0.20641646482558268,0.02909091271115958,0.021792885695411737,1000000.0,1000000.0,1000000.0
35,245780.55479901214,3881,0.9663032815082246,0.1973561103937808,0.701371618486443,0.14224717043251955,0.0764202431798977,0.024123939203408714,0.012446137005413627,0.009694173200542007,0.03369671849177528,0.12268449258926205,0.022140310205955638,0.010709813893189183,1000499.9999999999,1099999.9999999998,1100000.0
36,191939.58291365032,2782,0.9668964524151268,0.18855363667435496,0.715704347584675,0.14327662443830935,0.07034846007468706,0.0292138417431698,0.003426620643479653,0.004926557930805907,0.033103547584873216,0.10791548039214242,0.00835317857428556,0.008363709706093524,1101999.9999999998,1199999.9999999998,1199999.9999999998
37,723174.4654151888,11525,0.9586171195588459,0.20511343518822958,0.6697537268730851,0.12077928852375347,0.10590373176252686,0.044310465542417785,0.010199118116041248,0.007670788741021531,0.04138288044115409,0.16808410416200742,0.01786990685706278,0.03151211023686069,1200000.0,1200000.0,1200000.0
40,600886.5538060709,10015,0.9637186521658859,0.23881191155606007,0.6049208132317688,0.1308601154391794,0.11961085659502135,0.055537569395594864,0.03357298344989701,0.019216314054424456,0.03628134783411397,0.22793772349493766,0.05278929750432146,0.026183451198754856,1200007.9999999998,1300000.0,1300000.0
42,53735.83290350974,832,0.987242970109293,0.2140711214953881,0.6679927257179008,0.12144099485184362,0.12353839521771362,0.029571441945860703,0.026122698342842185,0.018576714033131988,0.012757029890706996,0.19780924953954848,0.044699412375974176,0.0023415227875236864,1302000.0,1349999.9999999998,1349999.9999999998
43,623798.7037998461,10254,0.9609265016041895,0.24045385684476894,0.599993800482608,0.12991567346836494,0.11195131828177855,0.054599064313075533,0.03549425910683325,0.02897238595152939,0.03907349839581049,0.23101702765321672,0.06446664505836265,0.0271818412566129,1350000.0,1399999.9999999998,1399999.9999999998
45,72043.52695345791,1273,0.9311655875109218,0.2101906510022254,0.648508127220313,0.11874664760364545,0.08687566427309666,0.04350147467081152,0.009971591545751899,0.023562082197303127,0.06883441248907814,0.1639108126869632,0.03353367374305503,0.0031392750598656966,1400000.0,1400000.0,1400000.0
46,376815.28845578956,5496,0.9819648401192781,0.2720530773495583,0.5618673077750101,0.11222395568967448,0.13947549874109239,0.06388941074890962,0.056467801822403484,0.04804086534218795,0.01803515988072203,0.3078735766545934,0.10450866716459142,0.01641961307626654,1400500.0,1422999.9999999998,1422999.9999999998
47,2244457.767320837,35139,0.9806374798856945,0.27323926919523206,0.5592048923635977,0.12086065873234524,0.1279711601998851,0.05968943447250194,0.06457757432545398,0.04833375979191073,0.019362520114305507,0.3005719287897517,0.11291133411736472,0.09780157343523779,1423000.0,1423500.0,1423500.0
57,178878.12345566927,2855,0.9792672778225328,0.23974081185924337,0.631022428083396,0.1133038064264243,0.12123214911240607,0.03987272626283933,0.03605806357945015,0.03777810435801683,0.020732722177467237,0.2349410433127124,0.07383616793746697,0.007794560531201293,1423506.0,1440000.0,1450000.0
58,360473.49972449045,5307,0.9329956844674324,0.26124443715560286,0.5303034867272286,0.14452234742806427,0.1147058016938593,0.07500213142997199,0.04301598248402402,0.02544593470428421,0.06700431553256758,0.2581698503121395,0.06846191718830823,0.015707524538029042,1450999.9999999998,1499999.9999999998,1499999.9999999998
59,683873.8243279882,10725,0.9309567391572917,0.261948588954187,0.530457538161212,0.14359184009848755,0.10662625433896052,0.08168973858136443,0.03869185716274789,0.02989951081451931,0.06904326084270829,0.25690736089759214,0.06859136797726721,0.029799596599355323,1500000.0,1500000.0,1500000.0
62,44418.719760915854,605,0.9965815758325597,0.23428895520198903,0.6478638655855268,0.15856787952125329,0.10455621102389095,0.05048009276099786,0.019678589901627352,0.01543493703926339,0.003418424167440394,0.1901498307257796,0.035113526940890746,0.0019355323792891266,1501300.0,1523499.9999999998,1539999.9999999998
63,751137.4397912336,11668,0.9619100133425509,0.2638159620855302,0.5719951982019912,0.12852072514431734,0.09794216564911636,0.06536176624658561,0.05338272283748705,0.044707435263053485,0.03808998665744891,0.2613940899962425,0.09809015810054054,0.03273058845094218,1541500.0,1600000.0,1600000.0
66,271487.6534683371,4568,0.9841306105840851,0.26964808496631554,0.574349201369849,0.12625542335029818,0.11385717899304555,0.060326156271261026,0.05815232658711427,0.051190324012517004,0.015869389415914998,0.2835259858639379,0.10934265059963127,0.011829993000553735,1600300.0,1623500.0,1623500.0
67,122599.13162604134,1683,0.9736292626082559,0.25061764395159863,0.608744222235909,0.12463077874942774,0.10245245729990664,0.047115039311183764,0.04274842928177954,0.047938335730049235,0.02637073739174412,0.24025426162291919,0.09068676501182879,0.005342220356916471,1623700.0,1649999.9999999998,1666665.9999999998
68,270814.21719584236,3801,0.9615810844802897,0.2621511924437232,0.5646480947825429,0.1507016799826728,0.09725477862153367,0.05583562845703501,0.0499316291123297,0.04320927352417563,0.038418915519710356,0.24623130971507404,0.09314090263650533,0.011800648217142209,1666999.9999999998,1700000.0,1700000.0
69,192613.6112188229,2420,0.9866442082836955,0.2627942944095951,0.6092984529831708,0.13927335433187854,0.07169205508504303,0.052497233457457285,0.05554019872695916,0.05834291369918671,0.013355791716304518,0.2380724009686462,0.11388311242614588,0.008393080287151262,1700000.0000000002,1720000.0,1750000.0
70,653234.526498352,9878,0.9574794110888012,0.2947701214453133,0.5019870133953063,0.14256366628775616,0.09216340984922139,0.08749888692200601,0.06831903609856176,0.06494739853594948,0.04252058891119896,0.31292873140573857,0.1332664346345112,0.02846449839420342,1750999.9999999998,1799999.9999999998,1799999.9999999998
72,65518.41588041649,1192,0.9243217020534501,0.25519984167340604,0.5635183498527228,0.15313984882175807,0.06877398406001582,0.05093726565305922,0.038488282760678595,0.04946397090521551,0.07567829794654991,0.20766350337896916,0.08795225366589411,0.0028549453036658683,1800000.0,1800000.0,1800000.0
73,198096.83754294144,2603,0.9797628637042117,0.2743462025348873,0.5693649478484941,0.1396950741547267,0.07732265407405642,0.09072948451064818,0.04822446001679385,0.05442624309949256,0.02023713629578825,0.270702841700991,0.1026507031162864,0.008632010228185725,1801000.0,1860000.0,1899999.9999999998
74,732919.448326843,10824,0.957542000594955,0.29095304233374863,0.4942343475954337,0.15351279607260246,0.09341143346909674,0.11802324194975675,0.05987368235965413,0.03848649914841127,0.04245799940504489,0.3097948569269189,0.09836018150806541,0.031936744941837535,1900000.0,1999999.9999999998,1999999.9999999998
77,443820.42904695275,6240,0.9312719687737632,0.3288121204888426,0.3792381095149233,0.20024618686722678,0.08047037053588237,0.12200636761787384,0.09301077587824427,0.05630015835961273,0.06872803122623669,0.3517876723916132,0.149310934237857,0.019339341962895364,2000000.0,2000000.0,2000000.0
79,199076.22448471503,2749,0.9747821236961367,0.2903966875424454,0.5370833287656602,0.14103156558138383,0.0775821511598003,0.0906211591062776,0.07835888974985067,0.05010502933316411,0.02521787630386309,0.2966672293490927,0.1284639190830148,0.00867468672016611,2003000.0,2100000.0,2123499.9999999995
80,239941.1828075063,3392,0.97221530205404,0.3211232205816254,0.45442492411310376,0.17295660466447663,0.058700765933656814,0.10735099855780517,0.10467770775952519,0.07410430102547244,0.027784697945960016,0.3448337732764596,0.17878200878499761,0.01045536501161159,2123500.0,2199999.9999999995,2200000.0
81,347044.5751658964,4823,0.9680819497421953,0.30894050703419873,0.4862167407461069,0.1724738116126934,0.04952735067013681,0.11483772041834679,0.08402710906375754,0.06099921723115399,0.03191805025780459,0.3093913973833951,0.14502632629491155,0.01512236318168891,2203000.0,2327000.0,2400000.0
82,203276.29370436136,2665,0.951331311803267,0.32610274958871677,0.4320767887905375,0.15132043693966607,0.06745105996024563,0.155951177534937,0.07899653529453733,0.06553531328334342,0.04866868819673297,0.3679340860730633,0.14453184857788073,0.008857703475570983,2403499.9999999995,2499999.9999999995,2499999.9999999995
83,257635.94576213163,4322,0.965801801418617,0.3546962627832707,0.35152734931963797,0.19569503515704392,0.05139063467266065,0.17728213990659156,0.13189002687690524,0.05801661548577759,0.03419819858138309,0.4185794169419351,0.18990664236268284,0.011226408995473967,2500000.0,2500000.0,2500000.0
84,123631.81744321008,1914,0.9864502249637412,0.3344181711817993,0.4271826101296081,0.19359112214530716,0.046599202685477424,0.14417848811375295,0.10994329802944938,0.06495550386014626,0.013549775036258762,0.365676492688826,0.1748988018895956,0.005387219331392127,2500999.9999999995,2600000.0,2600000.0
85,269464.0056351606,4158,0.9736857353053736,0.33795971613243553,0.4338707081694881,0.1705864194173509,0.04884805036439357,0.13465959414997772,0.12200112145065017,0.06371984175351324,0.026314264694626267,0.36922860771853466,0.1857209632041634,0.011741813153712723,2602999.9999999995,2799999.9999999995,2799999.9999999995
86,289853.69833662454,4100,0.9679429994523576,0.3520516016073186,0.3599472543231943,0.20064030974125371,0.06781210153498697,0.16052988513505245,0.12747836232976636,0.05153508638810394,0.03205700054764229,0.40735543538790975,0.1790134487178703,0.012630287892288235,2800000.0,2999999.9999999995,2999999.9999999995
87,356468.7767425142,5759,0.9737906743665302,0.35395336583744763,0.3441967107259758,0.24499649049795594,0.06796049746078578,0.15415922722443545,0.1195539153972933,0.042923833060084,0.02620932563346968,0.3845974731425985,0.16247774845737728,0.015533019936288615,3000000.0,3000000.0,3000000.0
89,221673.10621911855,3424,0.9806507222733596,0.34970140029694097,0.40005092241925405,0.21443920164761296,0.041229925195237285,0.13990934893890677,0.13813048102676098,0.04689084304558749,0.01934927772664046,0.36616059820649255,0.18502132407234848,0.009659339058264098,3005600.0,3200000.0,3400000.0
90,228140.0364888559,3650,0.9838407147019275,0.3584229940241137,0.38235544467906885,0.23340180449048717,0.04028871171066892,0.14386123590325958,0.13335029081473693,0.050583227103706094,0.016159285298072548,0.36808346553237153,0.183933517918443,0.009941133603425557,3400000.0000000005,3499999.9999999995,3500000.0
91,355126.03063580027,5374,0.9832629083883015,0.36035403670416327,0.3336110361848019,0.25650372734764426,0.06136019409343191,0.17180171717690793,0.12341681430550637,0.03656941928000905,0.016737091611698385,0.39314814485585525,0.15998623358551545,0.01547451017777468,3503012.0,3899999.9999999995,3999999.9999999995
92,164670.51712137443,2442,0.9738262832400889,0.3786913512795068,0.27770292513939476,0.24371528794857827,0.0667499185934622,0.20500507678065602,0.15085502270845863,0.02979805206953897,0.026173716759911144,0.45240807015211576,0.18065307477799758,0.007175468350241642,4000000.0,4000000.0,4000000.0
93,163510.2044662035,2717,0.9908288578628223,0.3683740109963613,0.35257698648625574,0.25187645173147477,0.04103997607906939,0.1602736012387939,0.12710435444809434,0.0579574878791341,0.009171142137177674,0.3863754196450918,0.18506184232722844,0.0071249080746130225,4003999.9999999995,4269000.0,4499999.999999999
94,283404.75052837573,4037,0.982439433422619,0.3682389191096895,0.33276782277554096,0.2780216074351783,0.049710919938402064,0.15734334537207903,0.13493148636119573,0.02966425154022288,0.017560566577381042,0.37165000321189967,0.16459573790141863,0.012349276927487888,4500000.0,4800000.0,4999999.999999999
95,167875.4863263679,2665,0.9793629103451059,0.37943142186806855,0.2786687492062018,0.3024533649854433,0.03213852263058004,0.20061673384825957,0.1373854277037665,0.028100111970854793,0.02063708965489398,0.3982407961534609,0.1654855396746213,0.007315123921232405,5000000.0,5000000.0,5200000.0
96,302612.83234042267,4258,0.9850114090340383,0.37125599260401465,0.3215726628050744,0.31775167837303575,0.03504546839484979,0.16206302921296517,0.12631044473669595,0.0222681255114171,0.014988590965961949,0.34568706785592807,0.14857857024811305,0.013186263326271139,5207399.999999999,5999999.999999999,6000000.0
97,166822.1873905361,2311,0.987889945058114,0.3752842068603291,0.32597553520975864,0.30339394323817553,0.039140353996137016,0.17118347490874633,0.1309528225126256,0.017243815192670948,0.01211005494188597,0.3585204666101799,0.14819663770529654,0.007269226736298969,6008000.0,6599999.999999999,6999999.999999999
98,219742.85629022628,2468,0.9802295629224623,0.3819058772658733,0.266381417774116,0.3224918751340607,0.027534435759013817,0.18476817999483794,0.1576009020462214,0.0214527522142125,0.019770437077537794,0.39135627001428563,0.17905365426043385,0.009575228997064655,7000000.0,7999999.999999999,8400000.0
99,245405.33650813333,2575,0.9917913166398801,0.39292486079996414,0.1950933624234254,0.40052046941694847,0.024414982926754064,0.19575024914322522,0.1538354689150746,0.022176783814452223,0.008208683360120091,0.3961774847995061,0.1760122527295268,0.010693463868802922,8405000.0,9999999.999999998,12000000.0
100,210737.81266508868,1834,0.9857384634818112,0.3846795900604267,0.22128145335828817,0.37442532671721107,0.03944907009243449,0.19641287191479997,0.1349968410898533,0.019172900309224073,0.014261536518188865,0.3900316834063118,0.15416974139907735,0.009182836924371437,12003254.999999998,18000000.0,102999999.99999999
