departamento,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4
Bogotá D.C.,4160820.066882373,13368,0.9626367666036931,0.3187707606010124,0.4283342599477343,0.18399617993795975,0.08575586471690258,0.12338439071097405,0.09896295248395126,0.04220311880617112,0.037363233396307004,0.350306326717999,0.14116607129012237
Antioquia,3311770.076703403,23055,0.963109904351332,0.2731347721588275,0.5463444070028358,0.13808374555072023,0.09175600614665104,0.09238312739246288,0.05884320278482295,0.03569941547383914,0.036890095648667895,0.27868175179777604,0.09454261825866209
Atlántico,1256860.111565948,15703,0.964104806500396,0.26992499958944205,0.5389610033594282,0.15573342047521926,0.1045470040773549,0.09087028964805074,0.05081785145383646,0.023175237486506364,0.035895193499604086,0.2694103826657485,0.07399308894034283
Valle del Cauca,2011697.4232403866,18220,0.9687895747080915,0.26948146997698325,0.5584743306160699,0.13884285900337484,0.10591367990163153,0.07795157175068348,0.05623049516823474,0.03137663826809707,0.031210425291908556,0.2714723850886468,0.08760713343633181
Risaralda,449847.63761151687,16677,0.9665528007989942,0.26456458671143435,0.5573995597434447,0.1415377324146774,0.0999077994534172,0.08032724035279636,0.055193497191305924,0.032186971643352595,0.033447199201005876,0.2676155086408721,0.08738046883465851
Santander,1045570.2664773326,17222,0.9719010980625867,0.2634459186622707,0.5523455733642235,0.17383272233173702,0.08269253893676147,0.0893566250492864,0.042185457598599346,0.031488180781978986,0.028098901937413257,0.24572280236662622,0.07367363838057833
Cundinamarca,1706608.0129832893,7711,0.9742535428822539,0.26293309240618135,0.5881086024729884,0.15158788825833344,0.07200629697183811,0.07958245592671474,0.050712090400701564,0.03225620885167769,0.02574645711774609,0.23455705215093206,0.08296829925237925
Quindío,256407.09811340956,13806,0.9695976664145399,0.2609051237405078,0.5654806609577966,0.14055991646668956,0.1140371713087689,0.06884174258228723,0.052281927784099846,0.02839624731489785,0.030402333585460014,0.26355708899005376,0.08067817509899769
Caldas,466839.7189306313,17618,0.9707255827068372,0.2597266491708763,0.5843114645595813,0.1306523172401965,0.08871543733731696,0.0762855508983105,0.051403353090332705,0.039357459581099395,0.02927441729316282,0.2557618009070596,0.0907608126714321
Norte de Santander,673286.7145479275,12554,0.9700112196008193,0.2527336201074583,0.6036443881877235,0.12347914416741518,0.08940386264139559,0.08919502381991568,0.024798016513947023,0.03949078427042226,0.0299887803991807,0.24288768724568055,0.06428880078436928
Meta,524442.8747610816,14412,0.970101623782338,0.24912770454543023,0.6198694461970613,0.11583403351781058,0.1068197097937256,0.06709915032792552,0.029724278804729453,0.03075500514108552,0.029898376217661896,0.2343981440674661,0.06047928394581498
Caquetá,153617.57973122044,10498,0.9748150829091942,0.2441895452967142,0.5570470035966529,0.22724685348086443,0.07299172015790467,0.06855371813599852,0.03254095905905052,0.01643482847872317,0.025184917090805798,0.19052122583167688,0.04897578753777369
