sector,ocupados,observaciones,cobertura_4d,exposicion_promedio_4d,participacion_not_exposed,participacion_minimal_exposure,participacion_gradient_1,participacion_gradient_2,participacion_gradient_3,participacion_gradient_4,participacion_sin_correspondencia_4d,participacion_expuesta_g1_g4,participacion_alta_g3_g4
Actividades financieras y de seguros,426553.97783145675,5503,0.9955144577793563,0.4776661312259521,0.0888291381091066,0.1082018132476619,0.03722342766364259,0.2799367039909499,0.3322204610515218,0.1491029137164735,0.0044855422206437215,0.7984835064225879,0.48132337476799525
Información y comunicaciones,398052.6886598733,4813,0.9891934471165956,0.455065686431917,0.11435330465810761,0.12770669644968086,0.04215299430409024,0.3546569331381935,0.2792403027958167,0.07108321577070666,0.010806552883404373,0.7471334460088072,0.35032351856652333
Organizaciones extraterritoriales,9390.453984267377,85,0.9550124840678063,0.3808219047240757,0.23329266864631262,0.33268682874602284,0.07525904756307042,0.16053063189795733,0.11144129368630562,0.04180201352813761,0.044987515932193675,0.389032986675471,0.15324330721444324
Comercio y reparación,3902758.9035457782,65606,0.991581290367007,0.35427215953924035,0.24335625757101137,0.0792565533970679,0.3567364744474193,0.25136790141445764,0.02214966999138641,0.03871443354566439,0.008418709632992875,0.6689684793989278,0.060864103537050795
Administración pública y defensa,812268.4920920301,15965,0.9679991536131908,0.35163993760048706,0.36488359098284157,0.26402557390615267,0.05523808236676077,0.07455616935042604,0.12059752651759978,0.08869821048941,0.03200084638680912,0.33908998872419654,0.2092957370070098
"Inmobiliarias, profesionales y administrativas",2081979.379718321,31146,0.9802260429136407,0.32197700783518235,0.48200512813587415,0.1528886169186802,0.02218642849720877,0.09476952317106473,0.1819549562998977,0.04642138989091506,0.01977395708635939,0.3453322978590862,0.22837634619081273
Educación,1007559.2241345607,18110,0.9983688528086787,0.30887456987711104,0.6040969110316072,0.2610934489057564,0.028612464015723246,0.026919204549955562,0.045473484050453664,0.03217334025518258,0.001631147191321445,0.13317849287131509,0.07764682430563624
Salud y asistencia social,1013370.5095546737,18477,0.9885398100340324,0.2829423581308468,0.608732249262859,0.14716388375751652,0.04259611081548446,0.048538097839909596,0.07694038767331858,0.06456908068494421,0.011460189965967598,0.23264367701365682,0.14150946835826278
Transporte y almacenamiento,1792508.0377381232,29763,0.7690863633066162,0.2681849253363175,0.21783766361831977,0.40876454598130235,0.06247888799314702,0.0317309433555423,0.030729017289754187,0.017545305068550583,0.2309136366933838,0.14248415370699408,0.04827432235830476
Industrias manufactureras,2513307.38999058,31989,0.9143392479330418,0.2473211844237121,0.6070709494922677,0.13805275586146978,0.05486478673734597,0.06656410424740877,0.024904352797467166,0.02288229879708251,0.08566075206695811,0.16921554257930443,0.04778665159454968
Alojamiento y servicios de comida,1733839.7050460204,30208,0.9992573817982013,0.24091140675202008,0.6241557211957856,0.2585222041734553,0.06844820054068439,0.023772034225234957,0.01889769398238391,0.005461527680657406,0.000742618201798574,0.11657945642896066,0.024359221663041313
"Artes, recreación y otros servicios",1235100.1965294841,21238,0.9792230755233295,0.2386514215376451,0.7409316776459965,0.08772241660969803,0.04123251426253115,0.06257015111797123,0.030309449269555623,0.01645686661757702,0.020776924476670462,0.15056898126763504,0.04676631588713264
"Electricidad, gas, agua y saneamiento",304637.1218098133,5115,0.9645652592911834,0.22224999407071364,0.7310630921656182,0.09072689557591132,0.014692583802019168,0.06028070682564982,0.032111045830779596,0.03569093509120535,0.035434740708816644,0.14277527154965394,0.06780198092198496
Minas y canteras,299823.920173771,2967,0.9945252971053171,0.1806707180875194,0.8796722457316292,0.0633707242167906,0.0050838358565049304,0.024490124066148197,0.012887333818736257,0.009021033415507935,0.00547470289468304,0.05148232715689731,0.021908367234244185
Construcción,1580385.0690432242,24970,0.9974229364263197,0.1601612892673821,0.9182975209235688,0.041764656794769095,0.0021415504625859477,0.011703717736531432,0.01168030567578204,0.011835184833082565,0.002577063573680259,0.037360758707981986,0.023515490508864603
Hogares como empleadores,715904.3419566725,12037,0.987269926528805,0.15342835810119856,0.9179587697644152,0.06924361070162584,5.463377637991632e-05,1.2912286384039555e-05,0.0,0.0,0.012730073471194946,6.754606276395586e-05,0.0
"Agricultura, ganadería, silvicultura y pesca",3127958.1670110263,29192,0.9986348014638199,0.14076254246568137,0.9408554835056041,0.04653305473629716,0.0020282260553153957,0.003687263657623254,0.0026952845198206362,0.0028354889891594338,0.0013651985361800966,0.01124626322191872,0.005530773508980071
