oficio_c8_4d,oficio_c8_label,ocupados,observaciones,participacion_empleo
8323,Conductores de camionetas y vehículos livianos,339765.28486887645,4855,0.014801106524174023
8324,Conductores de taxis,154249.55338527696,3095,0.006719533079557675
7332,Tejedores con agujas,69491.19863837356,926,0.0030272269691591497
1439,Otros gerentes de servicios no clasificados en otros grupos primarios,42178.21948617532,729,0.0018373987791477865
7341,Cesteros y mimbreros,33083.420033862574,276,0.001441204401721526
7399,Artesanos de otros materiales no clasificados en otros grupos primarios,29358.78140705724,433,0.0012789489402765036
7331,Tejedores con telares,24054.917201423672,256,0.0010478980866625675
3435,Otros técnicos y profesionales del nivel medio en actividades culturales y artísticas,16483.62496402525,237,0.0007180718568444332
5249,Otros vendedores no clasificados en otros grupos primarios,14387.244620604579,315,0.0006267477864935479
7342,Sombrereros artesanales,10234.863165140547,80,0.0004458586757209546
7363,Bisutero,9182.083785460996,156,0.0003999967220752063
7333,Otros tejedores,9067.735601926635,118,0.0003950154019677355
310,Otros miembros de las Fuerzas Militares,8757.003725826795,228,0.0003814790702604361
7361,Joyeros,7467.802898686932,98,0.00032531795073666126
7370,Artesanos del cuero,7266.01934837207,84,0.000316527706541499
210,Suboficiales de las Fuerzas Militares,6664.193779858878,139,0.00029031053620294294
9626,Lectores de medidores,6101.335318725654,81,0.00026579087980402446
7351,Tallador piezas artesanales de madera,4679.405107584326,75,0.00020384770472901272
3139,Técnicos en control de procesos no clasificados en otros grupos primarios,3311.982167334404,33,0.00014427901568519469
8189,Otros operadores de máquinas y de instalaciones fijas no clasificados en otros grupos primarios,3047.612350615136,33,0.00013276234228358936
110,Oficiales de las Fuerzas Militares,2848.7714593290398,34,0.00012410028837651343
7352,Decoradores de piezas artesanales en madera,1131.610015047295,24,4.929603206225455e-05
7391,Artesanos de papel,879.9548010504434,13,3.833324158420824e-05
7392,Artesanos del hierro y otros metales,689.0052804156527,9,3.0014957399447496e-05
7393,Artesanos de las semillas y cortezas vegetales,660.4856039371087,12,2.877256216840788e-05
7362,Orfebres y plateros,502.35498128885297,11,2.1883959080384752e-05
0,,400.9631282635806,5,1.746705222102267e-05
9625,Recolectores de dinero y surtidores de máquinas de venta automática,15.52075905148937,1,6.76126780126429e-07
